Menu Item Name,Family Group,Major Group,Qty Sold
NB CHICKEN,FOOD,FOOD,54221
9 X 9 COMPOSTBLE,RETAIL,RETAIL,46677
EGG/CHZ N MEAT,BREAKFAST,FOOD,38550
MASHED POTATOS,SIDES,FOOD,31286
M/M 12OZ JCE,BEVERAGES,BEVERAGES,23829
ICE/WATER,BEVERAGES,BEVERAGES,21182
COFFEE M,BEVERAGES,BEVERAGES,21161
FOUNTAIN,BEVERAGES,BEVERAGES,20843
CARB SODA,BEVERAGES,BEVERAGES,18174
FOUNTN Q,BEVERAGES,BEVERAGES,16540
4 CHEEZ SL,PIZZA,FOOD,16332
ICE/WATER,BEVERAGES,BEVERAGES,16167
NB STEAK,FOOD,FOOD,15179
M/M 160Z JCE,BEVERAGES,BEVERAGES,14192
POWERADE,BEVERAGES,BEVERAGES,14183
CREAM CHZ BGL,BREAKFAST,FOOD,13720
FRESH FRUIT,FRESH FRUIT,RETAIL,13674
CHIPS N QUESO,FOOD,FOOD,12974
CHIPS TP,GRAB N GO,RETAIL,12855
CHIX/RICE,ENTREES,FOOD,12374
PEPPRNI SL,PIZZA,FOOD,12172
FRIED RICE,ENTREES,FOOD,11848
HOKIE WATER,BEVERAGES,BEVERAGES,11674
NQ CHICKEN,FOOD,FOOD,11359
SWEET CREPE,DESSERTS,FOOD,10355
SOFT ROLL,SALAD BAR,FOOD,10333
SUB CHIX PARM,SANDWICHES,FOOD,10223
PEACE TEA,BEVERAGES,BEVERAGES,10049
LEMON CHIX/RICE,ENTREES,FOOD,10027
BETR BACN CHD,BREAKFAST,FOOD,10021
SZECHUAN BF/RICE,ENTREES,FOOD,9602
COOKE CHOC CHIP,DESSERTS,FOOD,9458
CHIX PESTO SL,PIZZA,FOOD,9313
RSTD SWT POTATO,SIDES,FOOD,9185
B CHICKEN,FOOD,FOOD,9176
WESTERN,BREAKFAST,FOOD,9045
X CHICKEN,FOOD,FOOD,8813
X NUTELLA,TOPPINGS,FOOD,8729
FRESH FRUIT,BEVERAGES,BEVERAGES,8665
CHIX&WAFFLE,ENTREES,FOOD,8533
ZEE ZEE BAR,PREPACKAGED,RETAIL,8460
MAC N CHEESE,SIDES,FOOD,8415
SPECIAL PIZZA,PIZZA,FOOD,8092
FRIED CHIX,ENTREES,FOOD,7891
SIDE OF CHIPS,FOOD,FOOD,7787
BEEF/RICE,ENTREES,FOOD,7498
COFEE MD BRUEG,BEVERAGES,BEVERAGES,7400
X STRAWBERRY,TOPPINGS,FOOD,7318
YTG FRUIT CUP LG,GRAB N GO,FOOD,6864
MILK 1/2 PT,BEVERAGES,BEVERAGES,6838
X BANANAS,TOPPINGS,FOOD,6758
MONDAY BL PLTE,BREAKFAST,FOOD,6706
BBQ CHIX,PIZZA,FOOD,6604
GRLD CHIX BRST,ENTREES,FOOD,6512
HOKIE WATER,BEVERAGES,BEVERAGES,6506
ICED COFEE LG B,BEVERAGES,BEVERAGES,6320
CHIX SWEET CHILI,ENTREES,FOOD,6205
ICED COFEE MD B,BEVERAGES,BEVERAGES,6033
DASANI,BEVERAGES,BEVERAGES,5871
NB VEGETABLE,FOOD,FOOD,5828
YTG FRT C.STRW,GRAB N GO,FOOD,5351
GREEK YOGURT,PREPACKAGED,RETAIL,5300
BEEF STROGNOFF,ENTREES,FOOD,5252
CUCUMBERS,SALAD,FOOD,5235
ALFREDO,PASTA,FOOD,5063
CHOC MUFFIN,DESSERTS,FOOD,4851
YTG STWB.PARF,GRAB N GO,FOOD,4794
CALIFRNA MAKI,ENTREES,FOOD,4711
EGG N CHEESE,BREAKFAST,FOOD,4703
WRAP CLASSIC,BREAKFAST,FOOD,4691
CADRE BRKFST,SUMMER CADRE,BOARD OPS,4658
SUB CHIX PESTO,SANDWICHES,FOOD,4569
SPCY TUNA MAKI,ENTREES,FOOD,4559
CARROTS,SALAD,FOOD,4556
CADRE DINNER,SUMMER CADRE,BOARD OPS,4485
B STEAK,FOOD,FOOD,4421
CHC HAZLNT CROIS,DESSERTS,FOOD,4388
SMKD SALMN B,SANDWICHES,FOOD,4380
BRUSSEL SPROUTS,SIDES,FOOD,4347
